,,,,,,,NOSC-L,,,,,,,TCN-L,,,,,,,TRT,,,,,,,TRT (Lot 7),,,,,,,RHN,,,,,,,SNE-NG,,,,,,,POP-NG,,,,,,,Maintenance Laptop Kit,,,,,,,STT Laptop Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,Product,Version,Category,Part Number,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beansbinding.dev.java.net,Beans Binding,1.2.1,F,2849396,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,"SNMPc Enterprise Edition
w/ remote Java console edition",9.0.12.1,G,2817039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Online ,12.1.10.1,G,2817036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Remote Access Extension,9.0.12.1,G,2817037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Workgroup Edition,9.0.12.1,G,2825940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco,CSR 1000v FLT 2.5G,17.1.6a,V,US00202413,,,,,,,,,,3,,,,,3,,,,,,,,,1,,,,,1,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Federal License Tool Activation,1.0.0 11-4-2022,G,,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco ,Federal License Tool,1.0.0 2021-11-30_2023-06-01,G,US00202393,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/BeanUtils,Apache Commons-BeanUtils,1.8,F,2825970,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/io,Apache Commons-IO,1.4,F,2825969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/jxpath,Apache Commons-JxPath,1.3,F,2826043,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/lang,Apache Commons-Lang,2.3,F,2825968,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataPath,MaxView Enterprise,7.4.3.0,V,2902410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilateral Technologies,GeoImagery,1.5,V,2941129,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilateral Technologies,LC Utility ,2.3.2,D,2847169,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilateral Technologies,Spectrum Management Engine (SME)  ,35.3.3,V,2819035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FasterXML,Jackson,1.8,F,2849871,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileZilla Server,FileZilla Server,0.9.49,V,2902411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,ACAS Scan Zone Tool,2.5.19.3.0,D,2901227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,ADKInstall,2.5.19.2.00,D,2900325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,ESXiUSBKEY,2.5.23.1.00,D,2849620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,iPXEUSBKEY,2.5.23.1.00,D,2902034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,NCW Gold Configs ,10.5.4,D,2902406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,NetStatusClient,,D,2848763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,OCSP Responder,2.5.18.3.3,D,2849876,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,PHSS Package,Apr2019,D,2817056,,,17,,4,13,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Provisioning Configuration Tool,2.5.22.3.0,D,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,PTMT,2.5.22.1.00,D,2902407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Riverbed Finalization,2.5.22.4.01,D,2848251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,SAASMCfg,2.0.2,D,2825942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Taclane Configuration Tool,1.4.15,G,2849877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,TranferPatchesTool,2.5.23.1.00,G,2902409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Trust Element Repository Reader/Writer web application,2.5.18.3.3,D,2849176,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,vFW_Config_Tool,2.5.19.2.1,D,2847923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,vmDeployment scripts,2.5.21.2.00,D,2839281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_CnrOneTouch,2.5.19.03.07,D,2842344,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_CommGoalTransformUtility,2.5.21.02.02,D,2837508,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Credentials,2.5.19.03.07,D,2837509,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Credentials,2.5.22.03.01,D,2837509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_FBCB2Connect,2.5.19.03.07,D,2839050,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,MIBs,2.5.22.1.01,D,2840073,,,2,,2,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_NetStatusService,2.5.22.3.02,D,2842046,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
