SNE-NG,,,,,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Image,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,
,,,,,,,18,2,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GD8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Getac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,cPCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul,Zulu JRE (64 bits),8u345b09 / Zulu: 8.64.0.19,F,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
beansbinding.dev.java.net,Beans Binding,1.2.1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,"SNMPc Enterprise Edition
w/ remote Java console edition",9.0.12.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Online ,12.1.10.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Remote Access Extension,9.0.12.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Workgroup Edition,9.0.12.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco,CSR 1000v FLT 2.5G,17.1.6a,V,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Microsoft,Federal License Tool Activation,1.0.0 11-4-2022,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco ,Federal License Tool,1.0.0 2021-11-30_2023-06-01,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/BeanUtils,Apache Commons-BeanUtils,1.8,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/io,Apache Commons-IO,1.4,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/jxpath,Apache Commons-JxPath,1.3,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/lang,Apache Commons-Lang,2.3,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
