Vendor,ProductName(TotalCI/NodeQuantity),Version,Function,IntendedUse,Product Category,LCCE UniqueID,PLM/PDM Root,PLM/PDM Part Number,"Mitigated Version #
(25 char limit exceeded)",Virtual Endpoint Client S/NVEC1,Virtual Endpoint Client (not Vec1) VECx,Satelite Tranmission Terminal Laptop,Engineering Node Management System,Active Directory Services,Perf EnhancingProxy,Network Timing Protocol,Network Recovery & Monitoring,ColorlessNode Manager,SIPR Node Manager,NIPR Node Manager,Network Operations LAN Manager,Network Operations WAN Manager,SIPR Multi-Domain Appliance,,,"Provisioning Maintenance
Laptop (B300)","Maintenance
Laptop (GD8000)",PDSS RELEASE DRIVE,Call Manager,Security Information Manager  ,Security Information Manager (2) ,"Elastic 
Syslog & Filebeat","Elastic
Logstash & Kibana",VMWare ESXi Server ,Nessus Scan Tool,LAN Tier 2 Router (Cisco vRouter) Lite/TRT,LAN Tier 2 Router (Cisco vRouter)             NGEN,Firewall Host (Palo Alto vFw),"Firewall Host (vFW)
(Colorless/
SIPR PoP/SNE)",Firewall Manager (Palo Alto Panorama),RVPS Application Server                    (SIPR),RVPS Application Server          (N/X),ACAS Security Center,,,,,,,,,,,,,
,,,,,"D=Developed
F=Free/Share
G=GFE/GFS
S=Subcontractor
V=VendorCOTS
LSVD",,,,,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,,,,,,,,,
commons.apache.org/jxpath,Apache Commons-JxPath,1.3,,Interpreter of expression language (Xpath),F,2197,2826043,07-2826043-F1.3ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/lang,Apache Commons-Lang,2.3,,"String handling utilities 
",F,1979,2825968,07-2825968-F2.3ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataPath,MaxView Enterprise,7.4.3.0,,"Management software for devices including MPM modem, Antenna Control unit and GPS ",V,,2902410,07-2902410-V7.4.3.0LRCQ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilateral Technologies,GeoImagery,1.5,,Terrain imagery renderer included in Wan_Planning and Wan_Monitoring NMS bundles,V,5254,2941129,07-2941129-V1.5LRCQ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilateral Technologies,LC Utility ,2.3.2,,Convert raw geo TIFF Land Cover maps in disparate geo TIFF formats provided by ESA or USGS into the standard .LULC format used by the SME library and GeoImagery utility,D,3771,2847169,07-2847169-D2.3.2L,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equilateral Technologies,Spectrum Management Engine (SME)  ,35.3.3,,Wireless Network planning and optimization tools.  Included in WAN_Planning NMS bundle ,V,2177,2819035,07-2819035-V35.3.3LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FasterXML,Jackson,1.8,,Tool to work with JSON 2 formatted file protocol used by WAN_Planning and NMS_Monitoring NMS bundles,F,5034,2849871,07-2849871-F1.8ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileZilla Server,FileZilla Server,0.9.49,,Supports Datapath Maxview software  ,V,,2902411,07-2902411-V0.9.49LRCQ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,ACAS Scan Zone Tool,2.5.19.3.0,,Tool to compute the various ACAS scan zones ,D,3840,2901227,07-2901227-D2.5.19.3.0L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,ADKInstall,2.5.19.2.00,,Tool for installing Deployment tools feature of MS Windows Assessment & Deployment kit (ADK),D,3820,2900325,07-2900325-D2.5.19.2.00L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
