NOSC-L,,,,,,,Total,Server,Durabook,Getac,Crystal Server,Server VM,Laptop VM,Image,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,
,,,,,,,52,6,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
,,,,,,,,,4,,,,,Durabook,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13,,,,Getac,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Crystal Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,,Server VM,,,,,3,,,3,,,,,3,,,,,,,,2,2,2,2,,,,,3,,3,1,2,3,,,,,
,,,,,,,,,,,,,,Laptop VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,Product,Version,Category,  PLM Part Number,,,,,,,,,,,SVEC1  NVEC1,SVEC2-7 NVEC2-5 XVEC1-3,,SENG1   SENG2,"SDSC
NDSC
XDSC",,,SNRM  NNRM XNRM,,,,,"SNOW
NNOW
XNOW",,,,,,,,"SSIM1
NSIM1
","SSIM2
NSIM2","SSYA
NSYA","SSYI
NSYI","SESX1-2
NESX1-2
XESX1-2",,,,SFWH NFWH XFWH,,SFWM NFWM XFWM,SFWM NFWM XFWM,SFWM NFWM XFWM,"SASC
NASC
XASC",,,,,
GD,SAASMCfg,2.0.2,D,07-2825942-D2.0.2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Taclane Configuration Tool,1.4.15,G,07-2849877-G1.4.15C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,TranferPatchesTool,2.5.23.1.00,G,07-2902409-G2.5.23.1.00C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Trust Element Repository Reader/Writer web application,2.5.18.3.3,D,07-2849176-D2.5.18.3.3L,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GD,vFW_Config_Tool,2.5.19.2.1,D,07-2847923-D2.5.19.2.1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,vmDeployment scripts,2.5.21.2.00,D,07-2839281-D2.5.21.2.00L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_CnrOneTouch,2.5.19.03.07,D,07-2842344-D2.5.19.03.07L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_CommGoalTransformUtility,2.5.21.02.02,D,07-2837508-D2.5.21.02.02L,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Credentials,2.5.19.03.07,D,07-2837509-D2.5.19.03.07L,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Credentials,2.5.22.03.01,D,07-2837509-D2.5.22.03.01L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_FBCB2Connect,2.5.19.03.07,D,07-2839050-D2.5.19.03.07L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,MIBs,2.5.22.1.01,D,07-2840073-D2.5.22.1.01L,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_NetStatusService,2.5.22.3.02,D,07-2842046-D2.5.22.3.02L,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_RemoteServiceProvider,2.5.22.02.01,D,07-2846830-D2.5.22.02.01L,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Troubleshooting,2.5.21.01.00,D,07-2842347-D2.5.21.01.00L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_WAN_Planning,2.5.21.02.02,D,07-2817052-D2.5.21.02.02L,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDC4S,UPS Configuration Tool,5.1,D,07-2841159-D5.1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen III SOTM Gui ,4.1.5 ,V,07-2828916-V4.1.5 LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen IV SOTM Gui (app.jar),8.0.8,V,US00202397-V8.0.4LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub,Posh-SSH,2.0.2,F,07-2846905-F2.0.2ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GitHub,Posh-SSH,3.0.0,F,07-2846905-F3.0.0ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Google,GSON,2.3.1,F,07-2849878-F2.3.1ELS,,,5,,2,,,3,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,CHIMERA,1.0.2,G,07-2902401-G1.0.2C,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2012 SP4,G,07-2846286-G2012 SP4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2016 SP2-CU16,G,07-2846286-G2016 SP2-CU16C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,Tier 3 Download Utility,1.1,G,07-2825958-G1.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS  (AGM),DoD InstallRoot PKE,5.5,G,07-2846287-G5.5C,,,20,,4,13,,3,,,2,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GOTS  (AGM),MS Office 2016 AGM,2.0.4,G,US00202398-G2.0.4C,,,17,,4,13,,,,,2,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA),DoD PKE CRLAutoCache (NIPR/SIPR),4.2,G,07-2846906-G4.2C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GOTS (DISA),Microsoft NetBanner,2.1.161,G,07-2847104-G2.1.161C,,,23,,4,13,,6,,,2,13,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GOTS (DISA/Tenable),Nessus ,10.2.0,G,07-2840061-G10.2.0C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
GOTS (DISA/Tenable),SecurityCenter,5.19 (Patch SC-202206.1-5.x),G,07-2840060-G5.19 (Patch SC-202206.1-5.x)C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
GOTS (MITRE),Kibana,0.8.2,G,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
GOTS (MITRE),Elasticsearch,0.8.2,G,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
GOTS (MITRE),Logstash,0.8.2,G,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
GOTS (MITRE),Beats,0.8.2,G,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
GOTS (MITRE),Endgame,0.8.2,G,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Client,5.1.14.376,G,,,,15,,2,13,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Server,5.1.14.376,G,,,,3,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 10 Enterprise LTSC,1809,G,US00202399-G1809C,,,17,,4,13,,,,,2,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 2019 Datacenter,10.0.17763,G,07-2901781-G10.0.17763C,,,9,,,,,9,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GOTS (REDCOM),Sigma Core,3.1.2,G,07-2902402-G3.1.2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REDCOM),Sigma Secure Client (Softphone ),5.1.5,G,07-2902404-G5.1.5C,,,15,,2,13,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TN),Sigma Core Provisioning Tool (SPT),4.2.0,G,07-2902403-G4.2.0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TNIC) ,CIT,1.5,G,07-2847100-G1.5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intalio Inc.,Castor,0.9.7,F,07-2849397-F0.9.7ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntelliPower UPS Megatec Netility,Netility,4.5,V,07-2902412-V4.5LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ireasoning.com,iReasoning,5.0.5,V,07-2825962-V5.0.5LRCQ,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,Java,1.8.0_0221,V,07-2902413-V1.8.0_0221LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jidesoft.com,JIDE Common,3.6.14,F,07-2826045-F3.6.14ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jounin.net,tftpd32,3.35,F,US00202400-F3.35ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jquery.com,Jquery,2.2.3,F,07-2846907-F2.2.3ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Jquery.com,Jquery,3.1.0,F,07-2846907-F3.1.0ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Knockoutjs.com,KnockoutJS,3.4.2,F,07-2846908-F3.4.2ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
